Wed, 07 Sep 2016 23:14:59:Insert_mysql_Efforttime.py[line:29] INFO Connect Redis OK!
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-02 11:36:43', u'oe-zhanglianhui-china', 100, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-02 10:29:16', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-02 08:08:41', u'oe-yanghongsheng-china', 20, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-02 00:37:55', u'oe-lichuangcheng-china', 60, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-02 00:00:28', u'oe-fansongchen-china', 20, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-01 19:45:45', u'oe-YueZhao-china', 125, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-09-01 08:29:07', u'oe-yanghongsheng-china', 20, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-08-31 16:22:09', u'oe-JiangShiXun-china', 10, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-08-31 15:13:37', u'oe-yanghongsheng-china', 30, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-08-31 10:26:31', u'oe-QuanZhiYang-china', 20, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-08-31 08:29:21', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287661', u'2016-08-30 18:51:40', u'oe-YueZhao-china', 180, u'2016-09-07 22:39:28']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287114', u'2016-09-02 08:04:26', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:37:25']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287114', u'2016-09-02 07:27:50', u'oe-lichuangcheng-china', 50, u'2016-09-07 22:37:25']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287114', u'2016-09-01 08:21:34', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:37:25']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287114', u'2016-08-31 08:28:23', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:37:25']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22287114', u'2016-08-30 16:21:58', u'oe-guofei-china', 20, u'2016-09-07 22:37:25']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22285355', u'2016-08-30 15:04:03', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:38:26']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22282549', u'2016-08-31 09:51:32', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22282549', u'2016-08-31 08:26:27', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22282549', u'2016-08-30 13:17:02', u'oe-yanghongsheng-china', 30, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279748', u'2016-09-01 10:12:42', u'oe-zhanglianhui-china', 20, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279748', u'2016-09-01 06:57:38', u'oe-lichuangcheng-china', 35, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279748', u'2016-08-31 08:24:51', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279748', u'2016-08-30 12:40:55', u'oe-guofei-china', 120, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279748', u'2016-08-30 10:58:37', u'oe-guofei-china', 30, u'2016-09-07 22:39:29']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279143', u'2016-08-31 12:11:52', u'oe-zhangyuan-china', 120, u'2016-09-07 22:40:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279143', u'2016-08-30 19:05:46', u'oe-JiangShiXun-china', 30, u'2016-09-07 22:40:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279143', u'2016-08-30 17:48:22', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:40:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279143', u'2016-08-30 14:15:28', u'oe-lichuangcheng-china', 120, u'2016-09-07 22:40:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22279143', u'2016-08-30 10:32:07', u'oe-lichuangcheng-china', 80, u'2016-09-07 22:40:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22278733', u'2016-08-30 13:16:39', u'oe-yangwenting-china', 50, u'2016-09-07 22:40:16']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22278733', u'2016-08-30 10:45:49', u'oe-quanzhiyang-china', 10, u'2016-09-07 22:40:16']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22276885', u'2016-08-30 10:35:52', u'oe-yanghongsheng-china', 135, u'2016-09-07 22:40:16']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22276885', u'2016-08-30 09:01:26', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:16']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22249621', u'2016-08-30 20:01:17', u'oe-YueZhao-china', 30, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22249621', u'2016-08-30 04:01:39', u'oe-fansongchen-china', 80, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22249621', u'2016-08-29 21:05:28', u'oe-luowei-china', 20, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22249621', u'2016-08-29 18:26:51', u'oe-yuezhao-china', 80, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-06 16:33:12', u'oe-lichuangcheng-china', 25, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-06 08:16:23', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-05 15:24:00', u'oe-lichuangcheng-china', 40, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-03 08:23:09', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-02 08:03:04', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-02 07:28:49', u'oe-lichuangcheng-china', 55, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-01 08:24:21', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-09-01 06:57:13', u'oe-lichuangcheng-china', 40, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-31 08:23:53', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-31 07:34:39', u'oe-luowei-china', 40, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-30 10:45:22', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-30 09:36:56', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-30 01:28:42', u'oe-fansongchen-china', 25, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-29 21:06:19', u'oe-luowei-china', 20, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-29 15:29:15', u'oe-yanghongsheng-china', 10, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22247195', u'2016-08-29 15:24:37', u'oe-zhangyuan-china', 5, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-30 15:42:44', u'oe-lichuangcheng-china', 60, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-30 12:44:35', u'oe-guofei-china', 25, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-30 10:53:53', u'oe-quanzhiyang-china', 15, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-29 22:51:12', u'oe-luowei-china', 140, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-29 21:19:48', u'oe-zhanglianhui-china', 250, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22246359', u'2016-08-29 15:33:19', u'oe-yanghongsheng-china', 10, u'2016-09-07 22:40:17']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22243370', u'2016-08-29 12:28:40', u'oe-zhangyuan-china', 30, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22242000', u'2016-08-30 10:16:37', u'oe-quanzhiyang-china', 70, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22242000', u'2016-08-30 09:59:54', u'oe-lichuangcheng-china', 60, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22242000', u'2016-08-29 21:07:41', u'oe-luowei-china', 20, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22242000', u'2016-08-29 14:41:05', u'oe-lichuangcheng-china', 150, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22241076', u'2016-08-30 09:54:35', u'oe-guofei-china', 20, u'2016-09-07 22:40:09']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22241076', u'2016-08-29 21:32:04', u'oe-yuezhao-china', 90, u'2016-09-07 22:40:09']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22241076', u'2016-08-29 21:10:54', u'oe-luowei-china', 20, u'2016-09-07 22:40:09']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22241076', u'2016-08-29 17:05:27', u'oe-yuezhao-china', 60, u'2016-09-07 22:40:09']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22241076', u'2016-08-29 11:47:36', u'oe-yanghongsheng-china', 110, u'2016-09-07 22:40:09']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22232029', u'2016-08-29 03:42:16', u'oe-fanSongchen-china', 20, u'2016-09-07 22:40:18']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-09-02 17:58:25', u'oe-zhangyuan-china', 120, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-09-02 17:53:57', u'oe-JiangShiXun-china', 120, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-09-02 16:27:08', u'oe-zhanglianhui-china', 120, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-31 08:20:59', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-30 09:40:17', u'oe-zhangyuan-china', 50, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-30 04:04:32', u'oe-fansongchen-china', 50, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 21:21:43', u'oe-zhanglianhui-china', 200, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 14:50:02', u'oe-zhangyuan-china', 90, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 11:03:35', u'oe-zhangyuan-china', 30, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 08:12:58', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 06:52:38', u'oe-fanSongchen-china', 50, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 06:04:00', u'oe-fanSongchen-china', 500, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 01:37:01', u'oe-fanSongchen-china', 40, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22229325', u'2016-08-29 01:30:00', u'oe-fanSongchen-china', 60, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22228507', u'2016-08-29 02:02:57', u'oe-fanSongchen-china', 30, u'2016-09-07 22:41:01']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22226265', u'2016-08-28 22:37:19', u'oe-zhanglianhui-china', 60, u'2016-09-07 22:41:03']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22225948', u'2016-08-28 23:31:45', u'oe-luowei-china', 30, u'2016-09-07 22:41:10']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22220858', u'2016-08-28 17:56:51', u'oe-zhanglianhui-china', 150, u'2016-09-07 22:41:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22199988', u'2016-08-28 01:41:22', u'oe-guofei-china', 30, u'2016-09-07 22:41:11']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22198695', u'2016-09-05 14:29:30', u'oe-quanzhiyang-china', 10, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22198695', u'2016-08-27 23:23:39', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-31 11:23:03', u'oe-zhangyuan-china', 30, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-30 17:04:08', u'oe-JiangShiXun-china', 30, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-30 03:26:29', u'oe-fansongchen-china', 80, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-30 03:07:46', u'oe-fansongchen-china', 50, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-29 23:09:55', u'oe-yuezhao-china', 80, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-29 10:57:23', u'oe-lichuangcheng-china', 60, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-29 08:20:40', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-27 21:38:44', u'oe-quanzhiyang-china', 10, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-27 20:21:59', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-27 18:53:30', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22192651', u'2016-08-27 18:09:50', u'oe-JiangShiXun-china', 100, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-06 13:49:54', u'oe-quanzhiyang-china', 0, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-06 13:49:51', u'oe-quanzhiyang-china', 15, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 18:27:22', u'oe-zhangyuan-china', 10, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 16:50:35', u'oe-JiangShiXun-china', 15, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 14:39:31', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 08:56:34', u'oe-yanghongsheng-china', 20, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 07:13:04', u'oe-luowei-china', 90, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-09-01 06:54:47', u'oe-lichuangcheng-china', 55, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-31 08:18:40', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-31 07:28:58', u'oe-luowei-china', 120, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-30 07:28:42', u'oe-fansongchen-china', 30, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-30 04:01:04', u'oe-fansongchen-china', 35, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-29 21:13:53', u'oe-luowei-china', 10, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-29 08:24:58', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-27 09:40:48', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-27 01:38:32', u'oe-yanghongsheng-china', 20, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22137897', u'2016-08-26 17:49:04', u'oe-JiangShiXun-china', 40, u'2016-09-07 22:41:12']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-09-05 14:41:40', u'oe-fansongchen-china', 185, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-09-05 08:00:44', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-09-02 00:36:59', u'oe-lichuangcheng-china', 50, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-08-30 20:12:39', u'oe-YueZhao-china', 30, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-08-30 02:49:56', u'oe-fansongchen-china', 60, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-08-29 20:07:01', u'oe-yuezhao-china', 120, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-08-29 06:23:08', u'oe-fanSongchen-china', 20, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22136994', u'2016-08-26 18:39:16', u'oe-zhangyuan-china', 120, u'2016-09-07 22:41:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22135763', u'2016-08-28 17:53:56', u'oe-luowei-china', 15, u'2016-09-07 22:41:55']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22135763', u'2016-08-28 17:43:31', u'oe-luowei-china', 15, u'2016-09-07 22:41:55']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22135763', u'2016-08-27 17:21:24', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:41:55']
